,character,frequency,number_of_strokes
1423,競,11550,0
1424,崇,11545,1
1425,撞,11534,5
1426,厲,11526,5
1427,淨,11522,1
1428,牽,11519,1
1429,羊,11499,6
1430,惑,11491,2
1431,溪,11477,3
1432,帽,11470,2
1433,眠,11408,0
1434,巷,11381,9
1435,溝,11378,3
1436,俗,11307,9
1437,宋,11270,7
1438,飄,11252,0
1439,淺,11210,1
1440,獻,11173,0
1441,麵,11155,0
1442,艦,11143,0
1443,滑,11131,3
1444,榜,11119,4
1445,圈,11114,1
1446,庭,11105,0
1447,縱,11069,7
1448,閃,11043,0
1449,蓮,11039,5
1450,麥,11018,1
1451,邦,10997,7
1452,耀,10995,0
1453,旋,10992,1
1454,閱,10982,5
1455,諒,10963,5
1456,紫,10953,2
1457,攝,10945,1
1458,儀,10938,5
1459,妨,10928,7
1460,審,10923,5
1461,描,10918,2
1462,洽,10902,9
1463,毀,10895,3
1464,逐,10865,1
1465,陪,10822,1
1466,填,10810,3
1467,踏,10740,5
1468,跌,10708,2
1469,藤,10689,9
1470,慕,10657,5
1471,勒,10656,1
1472,闆,10638,7
1473,殊,10621,0
1474,姊,10618,8
1475,憑,10573,6
1476,寞,10569,4
1477,岸,10557,8
1478,芬,10527,8
1479,鎮,10526,8
1480,池,10502,6
1481,拒,10418,8
1482,葛,10409,3
1483,州,10405,6
1484,鋒,10369,5
1485,寬,10361,5
1486,拳,10349,0
1487,于,10333,3
1488,函,10317,8
1489,驅,10316,1
1490,后,10315,6
1491,裁,10310,2
1492,蟹,10281,9
1493,阻,10268,8
1494,邪,10263,7
1495,革,10254,9
1496,頗,10245,4
1497,臥,10231,8
1498,昌,10225,8
1499,孟,10216,8
1500,航,10189,0
1501,遙,10160,4
1502,翔,10156,2
1503,蠍,10154,9
1504,恭,10148,0
1505,奧,10147,3
1506,齋,10140,7
1507,睛,10115,3
1508,槍,10111,4
1509,塔,10107,3
1510,閉,10087,1
1511,頓,10055,3
1512,糊,10050,5
1513,仰,9993,6
1514,旗,9992,4
1515,勵,9984,7
1516,厚,9982,9
1517,魂,9961,4
1518,准,9958,0
1519,丸,9938,3
1520,宙,9923,8
1521,逸,9922,3
1522,裕,9921,2
1523,舒,9918,2
1524,訪,9912,1
1525,兼,9879,0
1526,薩,9858,8
1527,飲,9855,2
1528,赤,9841,7
1529,閣,9841,4
1530,庸,9813,1
1531,啪,9800,1
1532,搶,9746,3
1533,勿,9734,4
1534,砂,9716,9
1535,緒,9713,4
1536,丌,9694,3
1537,穹,9675,8
1538,儘,9665,6
1539,掃,9663,1
1540,慈,9660,3
1541,欄,9651,1
1542,嘗,9637,4
1543,勸,9581,0
1544,鮮,9541,7
1545,奮,9519,6
1546,賜,9505,5
1547,菩,9485,2
1548,喊,9483,2
1549,闡,9481,0
1550,幽,9475,9
1551,擴,9459,8
1552,污,9410,6
1553,彰,9406,4
1554,毫,9404,1
1555,祥,9403,1
1556,盜,9387,2
1557,証,9379,2
1558,罰,9363,4
1559,番,9352,2
1560,尖,9349,6
1561,灰,9328,6
1562,狐,9282,8
1563,衡,9246,6
1564,擎,9240,7
1565,汪,9235,7
1566,監,9152,4
1567,籌,9137,0
1568,遲,9120,6
1569,誇,9115,3
1570,邱,9107,8
1571,稅,9092,2
1572,浩,9069,0
1573,拆,9013,8
1574,紛,9009,0
1575,吾,8990,7
1576,托,8962,6
1577,姑,8945,8
1578,咱,8921,9
1579,漏,8914,4
1580,誕,8895,5
1581,淑,8887,1
1582,鬱,8887,0
1583,砲,8880,0
1584,柏,8866,9
1585,牆,8866,7
1586,窩,8854,4
1587,傾,8849,3
1588,辭,8835,9
1589,秒,8827,9
1590,羽,8817,6
1591,渡,8792,2
1592,沖,8783,7
1593,廖,8776,4
1594,輛,8767,5
1595,齡,8749,0
1596,培,8712,1
1597,邀,8702,7
1598,甘,8693,5
1599,袋,8689,1
1600,杜,8669,7
1601,酸,8655,7
1602,胸,8631,0
1603,邏,8629,3
1604,豈,8616,0
1605,涼,8615,1
1606,肥,8612,8
1607,谷,8590,7
1608,獸,8572,9
1609,娃,8563,9
1610,孔,8556,4
1611,陷,8555,1
1612,估,8551,7
1613,妻,8546,8
1614,徑,8545,0
1615,玫,8543,8
1616,潛,8541,5
1617,晶,8517,2
1618,胞,8509,9
1619,煞,8474,3
1620,脆,8466,0
1621,抹,8447,8
1622,猶,8446,2
1623,築,8426,6
1624,呂,8405,7
1625,碎,8403,3
1626,噴,8374,5
1627,截,8368,4
1628,旦,8350,5
1629,婦,8333,1
1630,垃,8328,8
1631,荒,8322,0
1632,幣,8321,4
1633,圾,8302,7
1634,串,8282,7
1635,壯,8274,7
1636,伸,8263,7
1637,傲,8263,3
1638,弦,8245,8
1639,泥,8245,8
1640,繁,8243,7
1641,魯,8226,5
1642,忌,8216,7
1643,億,8198,5
1644,叭,8189,5
1645,坦,8188,8
1646,恥,8157,0
1647,蜜,8152,4
1648,欺,8149,2
1649,捨,8137,1
1650,怡,8122,8
1651,玲,8108,9
1652,臭,8107,0
1653,唐,8102,0
1654,湯,8101,2
1655,窮,8093,5
1656,悉,8090,1
1657,勁,8089,9
1658,拔,8059,8
1659,甜,8051,1
1660,蒙,8034,4
1661,逛,8014,1
1662,朵,8005,6
1663,摘,7990,4
1664,膽,7982,7
1665,糟,7974,7
1666,腿,7973,4
1667,喇,7972,2
1668,醜,7966,7
1669,躍,7954,1
1670,繳,7952,9
1671,泉,7937,9
1672,澤,7931,6
1673,碧,7930,4
1674,鞋,7928,5
1675,韓,7912,7
1676,彥,7903,9
1677,晨,7903,1
1678,莉,7901,1
1679,駕,7898,5
1680,猛,7890,1
1681,緩,7883,5
1682,坡,7863,8
1683,炸,7863,9
1684,怒,7861,9
1685,召,7837,5
1686,捕,7836,0
1687,幼,7818,5
1688,艾,7814,6
1689,恆,7813,9
1690,割,7806,2
1691,扯,7783,7
1692,盾,7771,9
1693,么,7768,3
1694,吐,7761,6
1695,昏,7761,8
1696,辨,7746,6
1697,軒,7731,0
1698,巫,7709,7
1699,丹,7705,4
1700,鑑,7690,2
1701,彎,7669,2
1702,賦,7653,5
1703,坪,7643,8
1704,侵,7634,9
1705,胎,7627,9
1706,悠,7625,1
1707,薪,7623,7
1708,刪,7613,7
1709,彬,7594,1
1710,悟,7589,0
1711,珠,7587,0
1712,勤,7587,3
1713,瑰,7583,4
1714,植,7582,2
1715,痴,7565,3
1716,礙,7557,9
1717,敝,7545,1
1718,盃,7539,9
1719,盼,7518,9
1720,亨,7495,7
1721,逝,7491,1
1722,剪,7487,1
1723,磨,7481,6
1724,逼,7474,3
1725,濃,7474,6
1726,洛,7470,9
1727,乏,7468,5
1728,擋,7462,6
1729,姆,7459,8
1730,症,7450,0
1731,嫌,7446,3
1732,躲,7443,3
1733,壁,7434,6
1734,釣,7422,1
1735,暖,7422,3
1736,憾,7396,6
1737,遜,7390,4
1738,愉,7387,2
1739,曰,7315,4
1740,采,7305,8
1741,捷,7286,1
1742,嘆,7283,4
1743,玄,7281,5
1744,滴,7275,4
1745,扣,7263,6
1746,抵,7258,8
1747,奔,7254,8
1748,翁,7228,0
1749,蹟,7227,8
1750,菲,7217,2
1751,爬,7216,8
1752,棚,7212,2
1753,夕,7207,3
1754,惱,7196,2
1755,戒,7180,7
1756,牲,7177,9
1757,泳,7167,8
1758,恰,7158,9
1759,滄,7147,3
1760,桑,7139,0
1761,蔣,7126,5
1762,潔,7110,5
1763,焦,7098,2
1764,勉,7079,9
1765,奪,7067,4
1766,萊,7057,2
1767,咖,7056,8
1768,貪,7044,1
1769,踢,7037,5
1770,抄,7036,7
1771,跡,7011,3
1772,鍾,7000,7
1773,涯,6964,1
1774,箭,6963,5
1775,誓,6960,4
1776,穌,6958,6
1777,涉,6957,0
1778,稿,6943,5
1779,署,6918,3
1780,療,6888,7
1781,礎,6876,8
1782,僑,6872,4
1783,涵,6870,1
1784,霧,6860,9
1785,粉,6859,0
1786,俱,6857,0
1787,徹,6856,4
1788,謀,6845,6
1789,屠,6824,1
1790,犧,6815,1
1791,唷,6814,0
1792,繞,6808,8
1793,壽,6786,4
1794,爺,6775,3
1795,騷,6768,0
1796,氏,6761,4
1797,翼,6752,7
1798,云,6741,4
1799,肚,6730,7
1800,吝,6726,7
1801,梁,6724,1
1802,咪,6696,9
1803,繪,6695,9
1804,廉,6691,3
1805,飽,6673,3
1806,鳴,6662,4
1807,貌,6659,4
1808,霹,6653,1
1809,炮,6650,9
1810,捐,6649,0
1811,啡,6641,0
1812,炎,6632,8
1813,嗨,6622,3
1814,貢,6620,0
1815,曼,6616,1
1816,壢,6599,9
1817,鼻,6595,4
1818,奉,6590,8
1819,鈴,6587,3
1820,耗,6573,0
1821,恢,6562,9
1822,融,6562,6
1823,筋,6550,2
1824,撿,6538,6
1825,儒,6535,6
1826,飾,6526,3
1827,禍,6519,4
1828,侯,6513,9
1829,唬,6503,1
1830,挖,6500,9
1831,幅,6499,2
1832,瞧,6472,7
1833,廷,6457,7
1834,咦,6444,9
1835,撐,6444,5
1836,柳,6440,9
1837,薄,6434,7
1838,黎,6431,5
1839,捲,6417,1
1840,嵐,6416,2
1841,吊,6402,6
1842,靂,6396,4
1843,擠,6394,7
1844,覽,6393,1
1845,迪,6384,9
1846,凌,6383,0
1847,茫,6378,0
1848,燃,6378,6
1849,瑪,6369,4
1850,弘,6356,5
1851,矛,6355,5
1852,敦,6339,2
1853,瑜,6320,3
1854,錦,6282,6
1855,楓,6279,3
1856,賓,6274,4
1857,梯,6264,1
1858,琪,6263,2
1859,獄,6251,4
1860,側,6237,1
1861,咬,6226,9
1862,墨,6206,5
1863,悶,6194,2
1864,晴,6171,2
1865,怖,6167,8
1866,喬,6151,2
1867,齒,6149,5
1868,嶺,6124,7
1869,仲,6118,6
1870,韻,6118,9
1871,旭,6115,6
1872,綜,6113,4
1873,兔,6103,8
1874,蹤,6086,8
1875,姿,6072,9
1876,邁,6069,7
1877,傢,6058,2
1878,譽,6039,1
1879,褲,6035,5
1880,孝,6022,7
1881,促,6018,9
1882,駛,5987,5
1883,仇,5949,4
1884,粗,5947,1
1885,妮,5930,8
1886,牧,5908,8
1887,舟,5897,6
1888,糕,5894,6
1889,殼,5885,2
1890,蝶,5868,5
1891,兇,5850,6
1892,鍋,5848,7
1893,懼,5840,1
1894,銳,5831,5
1895,吟,5802,7
1896,虧,5791,7
1897,枝,5783,8
1898,耍,5783,9
1899,闊,5772,7
1900,疼,5767,0
1901,拾,5764,9
1902,毅,5763,5
1903,刷,5762,8
1904,塗,5760,3
1905,夾,5754,7
1906,裂,5753,2
1907,陀,5749,8
1908,哉,5742,9
1909,鄰,5737,5
1910,悅,5736,0
1911,契,5735,9
1912,轟,5732,1
1913,爵,5723,7
1914,屏,5712,9
1915,駐,5707,5
1916,賭,5699,5
1917,蜂,5697,3
1918,扇,5687,0
1919,羞,5666,1
1920,瓦,5660,5
1921,疏,5660,1
1922,欽,5650,2
1923,斗,5641,4
1924,坤,5638,8
1925,堪,5637,2
1926,洩,5631,9
1927,逆,5627,0
1928,抬,5618,8
1929,哎,5596,9
1930,餅,5596,4
1931,彌,5596,7
1932,貫,5585,1
1933,綱,5576,4
1934,惹,5571,3
1935,翹,5558,8
1936,墮,5551,5
1937,狠,5549,9
1938,頑,5538,3
1939,莎,5532,1
1940,擦,5532,7
1941,贈,5528,9
1942,凝,5527,6
1943,滋,5526,2
1944,靖,5514,3
1945,喂,5512,2
1946,允,5483,4
1947,彭,5481,2
1948,挺,5478,0
1949,拋,5467,8
1950,愚,5458,3
1951,征,5442,8
1952,辱,5389,0
1953,朗,5388,0
1954,余,5368,7
1955,慰,5354,5
1956,禪,5337,7
1957,蛙,5333,2
1958,秦,5328,0
1959,災,5317,7
1960,偵,5311,1
1961,讚,5297,5
1962,椅,5289,2
1963,夥,5288,4
1964,碗,5279,3
1965,丙,5272,5
1966,卒,5266,8
1967,荷,5260,1
1968,披,5255,8
1969,趨,5244,7
1970,劫,5241,7
1971,迅,5239,7
1972,笛,5238,1
1973,烤,5237,0
1974,肩,5233,8
1975,矣,5225,7
1976,遷,5222,5
1977,汝,5218,6
1978,鹿,5200,1
1979,缸,5193,9
1980,慾,5190,5
1981,爐,5190,0
1982,魅,5188,5
1983,丈,5182,3
1984,巡,5165,7
1985,措,5145,1
1986,秤,5135,0
1987,沿,5129,8
1988,痕,5113,1
1989,濫,5110,7
1990,漲,5107,4
1991,腰,5106,3
1992,賤,5106,5
1993,妥,5103,7
1994,液,5079,1
1995,鵝,5069,8
1996,軌,5054,9
1997,叔,5047,8
1998,陵,5046,1
1999,貞,5040,9
2000,扭,5035,7
2001,漠,5025,4
2002,祕,5020,0
2003,蝦,5016,5
2004,捉,5015,0
2005,謠,5014,7
2006,氛,5013,8
2007,膠,5012,5
2008,遞,5007,4
2009,霖,5006,6
2010,雯,4996,2
2011,髒,4984,3
2012,倆,4966,0
2013,旺,4958,8
2014,杉,4947,7
2015,燕,4935,6
2016,寸,4930,3
2017,茂,4915,9
2018,循,4915,2
2019,屍,4903,9
2020,鑽,4902,7
2021,晃,4900,0
2022,悄,4898,0
2023,翅,4894,0
2024,芒,4888,7
2025,斜,4875,1
2026,廁,4874,2
2027,呦,4870,8
2028,溜,4869,3
2029,鶴,4863,1
2030,喪,4862,2
2031,盒,4860,1
2032,摔,4859,4
2033,愧,4855,3
2034,灑,4850,2
2035,津,4838,9
2036,盈,4818,9
2037,脈,4812,0
2038,苗,4802,9
2039,堡,4802,2
2040,刑,4795,6
2041,叉,4792,3
2042,撒,4790,5
2043,虫,4789,6
2044,纏,4784,1
2045,遵,4780,6
2046,臣,4750,6
2047,櫻,4749,1
2048,扮,4747,7
2049,渾,4746,2
2050,噁,4734,5
2051,趁,4733,2
2052,呈,4717,7
2053,牢,4712,7
2054,泊,4706,8
2055,欠,4705,4
2056,慎,4705,3
2057,琳,4700,2
2058,倦,4691,0
2059,腐,4691,4
2060,蛇,4671,1
2061,搜,4655,2
2062,患,4650,1
2063,伏,4648,6
2064,陶,4648,1
2065,柯,4646,9
2066,劣,4643,6
2067,疲,4643,0
2068,儲,4641,7
2069,桿,4638,1
2070,祂,4637,8
2071,塑,4635,3
2072,蓉,4633,4
2073,繫,4633,9
2074,疾,4628,0
2075,泣,4626,8
2076,粒,4622,1
2077,渴,4610,2
2078,璃,4600,5
2079,茲,4599,0
2080,鄧,4595,5
2081,歪,4592,9
2082,棟,4583,2
2083,騰,4576,0
2084,玻,4566,9
2085,娟,4558,0
2086,叡,4555,6
2087,返,4554,8
2088,併,4546,8
2089,弊,4543,4
2090,埋,4540,0
2091,晉,4524,0
2092,稀,4518,2
2093,鴨,4515,6
2094,汗,4509,6
2095,牡,4509,7
2096,暢,4502,4
2097,添,4500,1
2098,妖,4491,7
2099,劑,4489,6
2100,泛,4487,8
2101,柴,4482,0
2102,杰,4474,8
2103,攜,4474,1
2104,飆,4474,1
2105,壇,4451,6
2106,阮,4447,7
2107,匆,4444,5
2108,喚,4432,2
2109,昆,4423,8
2110,拷,4423,9
2111,儂,4421,5
2112,斥,4420,5
2113,垂,4398,9
2114,萍,4392,2
2115,勾,4383,4
2116,催,4383,3
2117,糖,4381,6
2118,澎,4366,5
2119,踩,4362,5
2120,櫃,4362,8
2121,蟻,4361,9
2122,販,4357,1
2123,抑,4322,7
2124,虹,4300,9
2125,潘,4300,5
2126,坑,4295,7
2127,曹,4289,1
2128,暮,4284,5
2129,腹,4278,3
2130,煮,4273,2
2131,襲,4261,2
2132,仿,4259,6
2133,臂,4251,7
2134,吻,4244,7
2135,浴,4238,0
2136,框,4235,0
2137,敲,4235,4
2138,佑,4232,7
2139,体,4229,7
2140,彷,4222,7
2141,謹,4213,8
2142,岳,4201,8
2143,敘,4193,1
2144,賊,4188,3
2145,罐,4182,4
2146,寡,4170,4
2147,燦,4162,7
2148,侶,4159,9
2149,攤,4156,2
2150,芭,4139,8
2151,翠,4129,4
2152,羨,4127,3
2153,占,4124,5
2154,綿,4124,4
2155,謎,4124,7
2156,掩,4122,1
2157,喻,4122,2
2158,秩,4115,0
2159,煌,4107,3
2160,賠,4107,5
2161,籤,4102,3
2162,珊,4095,9
2163,馨,4093,0
2164,札,4090,5
2165,脅,4090,0
2166,旨,4067,6
2167,拘,4064,8
2168,紐,4050,0
2169,喲,4049,2
2170,蠢,4049,1
2171,詠,4036,2
2172,匙,4031,1
2173,羯,4017,5
2174,攔,4012,0
2175,膚,4000,5
2176,驟,4000,4
2177,嫁,3977,3
2178,廟,3963,5
2179,孕,3953,5
2180,俄,3950,9
2181,肝,3945,7
2182,罩,3932,3
2183,腸,3932,3
2184,叛,3913,9
2185,匪,3908,0
2186,倉,3902,0
2187,卸,3897,8
2188,祭,3897,1
2189,袍,3895,0
2190,謊,3890,7
2191,埔,3889,0
2192,几,3882,2
2193,貿,3881,2
2194,魏,3872,8
2195,禦,3864,6
2196,踴,3853,6
2197,蘋,3848,0
2198,卜,3843,2
2199,澄,3839,5
2200,麟,3825,3
2201,宵,3817,0
2202,陌,3815,9
2203,陋,3807,9
2204,屈,3806,8
2205,衷,3798,0
2206,崗,3791,1
2207,盪,3788,7
2208,曆,3774,6
2209,惟,3771,1
2210,舌,3769,6
2211,匯,3765,3
2212,誘,3761,4
2213,桂,3750,0
2214,娜,3741,0
2215,菁,3741,2
2216,睹,3740,3
2217,殿,3733,3
2218,傅,3730,2
2219,咒,3729,8
2220,謙,3729,7
2221,雀,3727,1
2222,粽,3723,4
2223,卓,3719,8
2224,鑰,3718,5
2225,斌,3717,2
2226,袖,3706,0
2227,鈕,3697,2
2228,媚,3691,2
2229,叮,3687,5
2230,翰,3686,6
2231,堯,3685,2
2232,盧,3680,6
2233,捧,3679,1
2234,壹,3679,2
2235,憤,3674,6
2236,猴,3670,2
2237,粹,3668,4
2238,跨,3666,3
2239,螞,3666,6
2240,埃,3662,0
2241,枉,3660,8
2242,卿,3658,0
2243,撕,3658,5
2244,紋,3656,0
2245,瑋,3656,3
2246,划,3646,6
2247,囂,3643,1
2248,雕,3637,6
2249,乳,3636,8
2250,膀,3633,4
2251,仗,3632,5
2252,赫,3628,4
2253,筒,3614,2
2254,辜,3610,2
2255,桶,3607,1
2256,彿,3602,8
2257,衰,3602,0
2258,獵,3598,8
2259,譬,3597,0
2260,勳,3595,6
2261,衫,3594,8
2262,懇,3589,7
2263,瓊,3585,8
2264,凍,3583,0
2265,戚,3579,1
2266,穎,3579,6
2267,軸,3571,2
2268,殖,3570,2
2269,撤,3569,4
2270,吋,3566,6
2271,寮,3566,5
2272,潭,3564,5
2273,姻,3544,9
2274,躺,3535,5
2275,樑,3531,5
2276,昂,3527,8
2277,潑,3526,5
2278,腔,3523,2
2279,龐,3522,9
2280,澳,3519,6
2281,瞬,3517,7
2282,寺,3515,6
2283,銅,3512,4
2284,閩,3502,4
2285,肢,3500,8
2286,糾,3496,8
2287,叢,3495,8
2288,卑,3487,8
2289,拓,3487,8
2290,宰,3479,0
2291,鍊,3467,7
2292,湊,3466,2
2293,梭,3453,1
2294,董,3443,3
2295,宅,3439,6
2296,刮,3429,8
2297,胃,3424,9
2298,芝,3421,8
2299,淋,3413,1
2300,斃,3410,7
2301,驕,3404,2
2302,奸,3401,6
2303,殷,3393,0
2304,墓,3392,4
2305,償,3388,7
2306,冥,3381,0
2307,炒,3364,8
2308,潤,3359,5
2309,蕩,3359,6
2310,妄,3352,6
2311,砸,3351,0
2312,餓,3346,5
2313,扎,3344,4
2314,佇,3336,7
2315,尿,3328,7
2316,眷,3326,1
2317,濕,3323,7
2318,盲,3315,8
2319,偽,3301,1
2320,踐,3301,5
2321,淫,3296,1
2322,鼎,3293,3
2323,貧,3291,1
2324,謬,3290,8
2325,矩,3275,0
2326,蟑,3271,7
2327,駁,3269,4
2328,兆,3268,6
2329,淵,3268,1
2330,棍,3258,2
2331,馳,3248,3
2332,熙,3247,4
2333,扶,3238,7
2334,聘,3233,3
2335,斬,3220,1
2336,穴,3218,5
2337,槽,3216,5
2338,詭,3211,3
2339,昧,3204,9
2340,澡,3203,6
2341,螂,3200,5
2342,辣,3190,4
2343,匹,3185,4
2344,蚊,3177,0
2345,僧,3158,4
2346,柱,3156,9
2347,挫,3156,0
2348,袁,3152,0
2349,籠,3152,2
2350,抖,3140,7
2351,訝,3138,1
2352,勃,3134,9
2353,顛,3126,9
2354,淘,3120,1
2355,撲,3120,5
2356,丘,3116,5
2357,吞,3112,7
2358,亭,3112,9
2359,瘟,3112,5
2360,癢,3105,0
2361,肆,3104,3
2362,漆,3103,4
2363,詗,3103,2
2364,尹,3101,4
2365,猩,3099,2
2366,帖,3096,8
2367,佐,3087,7
2368,昱,3081,9
2369,咳,3080,9
2370,祈,3076,9
2371,詹,3075,3
2372,毋,3073,4
2373,矮,3071,3
2374,苑,3067,9
2375,賄,3044,3
2376,緻,3042,5
2377,婉,3039,1
2378,斤,3032,4
2379,饒,3025,0
2380,闖,3014,8
2381,戈,3008,4
2382,歧,3005,8
2383,諷,2997,6
2384,熬,2994,5
2385,診,2992,2
2386,霜,2991,7
2387,諧,2988,6
2388,掙,2985,1
2389,鈞,2980,2
2390,覓,2969,1
2391,瀟,2967,9
2392,屑,2966,0
2393,痞,2959,2
2394,鋪,2958,5
2395,黏,2958,7
2396,遣,2957,4
2397,蹈,2957,7
2398,懸,2957,0
2399,詮,2951,3
2400,岡,2949,8
2401,蝴,2943,5
2402,汁,2941,5
2403,攏,2935,9
2404,帆,2933,6
2405,壺,2933,2
2406,瑟,2931,3
2407,雁,2926,2
2408,辰,2923,7
2409,婷,2923,2
2410,穗,2922,7
2411,慨,2921,2
2412,哼,2911,0
2413,淒,2911,1
2414,佬,2910,8
2415,膜,2902,5
2416,肅,2896,2
2417,濾,2884,8
2418,涂,2883,0
2419,范,2880,9
2420,恕,2873,0
2421,醬,2872,8
2422,纖,2872,3
2423,輻,2841,6
2424,懿,2840,2
2425,稚,2835,3
2426,郁,2826,9
2427,募,2824,3
2428,豫,2820,6
2429,艇,2818,3
2430,枯,2803,9
2431,掰,2800,2
2432,寵,2797,9
2433,遨,2794,5
2434,并,2789,6
2435,漁,2789,4
2436,淹,2777,1
2437,岩,2776,8
2438,墊,2775,4
2439,鞭,2774,8
2440,縫,2766,7
2441,駿,2764,7
2442,歹,2758,4
2443,斑,2757,2
2444,甄,2747,4
2445,竿,2741,9
2446,駝,2716,5
2447,昔,2715,8
2448,崎,2712,1
2449,冤,2711,0
2450,棵,2709,2
2451,僕,2708,4
2452,疊,2708,2
2453,箏,2700,4
2454,剎,2698,9
2455,墜,2681,5
2456,遮,2678,5
2457,螺,2675,7
2458,煎,2671,3
2459,薰,2668,8
2460,癮,2668,2
2461,蠟,2664,1
2462,瞎,2660,5
2463,禱,2658,8
2464,皓,2657,2
2465,坎,2649,7
2466,蒂,2649,3
2467,焉,2648,1
2468,魁,2648,4
2469,唇,2640,0
2470,犬,2637,4
2471,弓,2630,3
2472,錶,2630,6
2473,籲,2630,3
2474,娛,2626,0
2475,甩,2623,5
2476,颱,2621,4
2477,屎,2607,9
2478,沾,2605,8
2479,撫,2602,5
2480,傘,2590,2
2481,嬌,2589,5
2482,錫,2586,6
2483,唔,2582,0
2484,郝,2554,0
2485,禿,2552,7
2486,淪,2550,1
2487,剝,2546,0
2488,揭,2533,2
2489,溶,2532,3
2490,肇,2531,4
2491,匿,2530,1
2492,趟,2521,5
2493,盆,2519,9
2494,湧,2515,2
2495,坊,2511,7
2496,碳,2500,4
2497,赴,2487,9
2498,絃,2487,1
2499,磚,2486,6
2500,栗,2476,0
2501,狹,2476,0
2502,廿,2475,4
2503,菊,2465,2
2504,嘎,2465,4
2505,瘦,2457,5
2506,奴,2456,5
2507,氧,2453,0
2508,頹,2448,6
2509,璋,2440,5
2510,驢,2440,5
2511,畏,2427,9
2512,珮,2426,0
2513,債,2424,3
2514,摧,2419,4
2515,鹽,2415,4
2516,噹,2411,6
2517,噓,2409,5
2518,挽,2405,0
2519,墾,2399,6
2520,霞,2399,7
2521,伐,2395,6
2522,畔,2389,0
2523,韋,2372,9
2524,姬,2371,0
2525,逍,2366,1
2526,瑩,2364,5
2527,脾,2362,2
2528,嘟,2362,4
2529,帕,2361,8
2530,噪,2361,6
2531,穫,2355,9
2532,縛,2350,6
2533,暈,2347,3
2534,裙,2344,2
2535,頸,2342,6
2536,竊,2340,3
2537,濁,2327,6
2538,峽,2325,0
2539,倘,2324,0
2540,蘊,2321,0
2541,餵,2319,7
2542,囊,2318,2
2543,霉,2316,5
2544,薇,2312,7
2545,剃,2307,9
2546,衍,2307,9
2547,訣,2307,1
2548,廂,2307,2
2549,臟,2307,2
2550,枕,2303,8
2551,慌,2301,3
2552,豔,2300,8
2553,湘,2284,2
2554,熄,2282,4
2555,琦,2278,2
2556,蓄,2276,4
2557,削,2273,9
2558,鵬,2272,9
2559,券,2271,8
2560,渺,2271,2
2561,臘,2263,9
2562,伺,2257,7
2563,蕾,2256,7
2564,矢,2250,5
2565,挨,2248,0
2566,漿,2245,5
2567,娶,2236,1
2568,廚,2232,5
2569,睜,2223,3
2570,虐,2221,9
2571,薛,2218,7
2572,蓬,2217,5
2573,垮,2215,9
2574,暨,2209,4
2575,鑼,2209,7
2576,遂,2207,3
2577,喧,2204,2
2578,釘,2195,0
2579,堵,2194,1
2580,醇,2173,5
2581,嬰,2169,7
2582,耕,2168,0
2583,濱,2166,7
2584,葬,2162,3
2585,履,2160,5
2586,艱,2159,7
2587,緯,2157,5
2588,姦,2155,9
2589,摯,2147,5
2590,鴉,2132,5
2591,蒸,2124,4
2592,葡,2121,3
2593,嚐,2117,7
2594,甫,2115,7
2595,璿,2103,8
2596,霍,2102,6
2597,尉,2101,1
2598,妓,2099,7
2599,棉,2096,2
2600,秉,2094,8
2601,爹,2093,0
2602,撈,2092,5
2603,綁,2091,3
2604,翩,2089,5
2605,嘸,2085,5
2606,呻,2076,8
2607,拂,2075,8
2608,貳,2075,2
2609,燭,2074,7
2610,懲,2072,9
2611,宴,2071,0
2612,撇,2069,4
2613,爍,2067,9
2614,汰,2062,7
2615,歇,2061,3
2616,癌,2059,7
2617,咕,2050,8
2618,崩,2048,1
2619,膩,2042,6
2620,撰,2041,5
2621,樸,2041,6
2622,棺,2040,2
2623,頌,2040,3
2624,魄,2040,5
2625,舜,2037,2
2626,蕃,2037,6
2627,寇,2036,1
2628,萄,2033,2
2629,妝,2032,7
2630,遼,2032,6
2631,襄,2028,7
2632,薯,2027,7
2633,曝,2026,9
2634,諮,2024,6
2635,蘿,2023,3
2636,頒,2022,3
2637,菌,2020,2
2638,嚮,2006,8
2639,氓,2004,8
2640,枚,1993,8
2641,酬,1991,3
2642,馮,1990,2
2643,嘲,1990,5
2644,橘,1983,6
2645,侮,1980,9
2646,灘,1978,2
2647,屢,1976,4
2648,歎,1975,5
2649,巢,1968,1
2650,髓,1963,3
2651,碑,1957,3
2652,梨,1940,1
2653,礦,1939,0
2654,疋,1938,5
2655,脹,1936,2
2656,賈,1935,3
2657,譴,1931,1
2658,悸,1929,1
2659,煉,1928,3
2660,胏,1927,9
2661,豹,1923,0
2662,擅,1919,6
2663,迦,1914,9
2664,蠶,1909,4
2665,肌,1908,6
2666,攀,1908,9
2667,卵,1907,7
2668,闢,1901,1
2669,炳,1898,9
2670,嘍,1889,4
2671,盞,1887,3
2672,鄙,1885,4
2673,浦,1875,0
2674,尬,1871,7
2675,弗,1864,5
2676,株,1864,0
2677,爪,1861,4
2678,抒,1861,7
2679,侍,1858,8
2680,阪,1854,7
2681,祇,1847,8
2682,逗,1843,1
2683,喉,1841,2
2684,栽,1837,0
2685,疫,1834,9
2686,黯,1830,1
2687,飼,1829,3
2688,鋁,1827,5
2689,鉛,1826,3
2690,劈,1826,5
